segment_id,seat_type,remaining,updated_at
1,ngoi_mem,66,2024-01-03T05:45:00+07:00
1,giuong_nam_k6,130,2024-01-03T05:45:00+07:00
2,ngoi_mem,80,2024-01-03T05:45:00+07:00
2,giuong_nam_k6,129,2024-01-03T05:45:00+07:00
3,ngoi_mem,70,2024-01-03T05:45:00+07:00
3,giuong_nam_k6,122,2024-01-03T05:45:00+07:00
4,ngoi_mem,75,2024-01-03T05:45:00+07:00
4,giuong_nam_k6,109,2024-01-03T05:45:00+07:00
5,ngoi_mem,62,2024-01-03T05:45:00+07:00
5,giuong_nam_k6,88,2024-01-03T05:45:00+07:00
6,ngoi_mem,84,2024-01-03T05:45:00+07:00
6,giuong_nam_k6,51,2024-01-03T05:45:00+07:00
7,ngoi_mem,66,2024-01-03T05:45:00+07:00
7,giuong_nam_k6,48,2024-01-03T05:45:00+07:00
8,ngoi_mem,50,2024-01-03T05:45:00+07:00
8,giuong_nam_k6,34,2024-01-03T05:45:00+07:00
9,ngoi_mem,17,2024-01-03T05:45:00+07:00
9,giuong_nam_k6,6,2024-01-03T05:45:00+07:00
10,ngoi_mem,28,2024-01-03T05:45:00+07:00
10,giuong_nam_k6,33,2024-01-03T05:45:00+07:00
11,ngoi_mem,47,2024-01-03T05:45:00+07:00
11,giuong_nam_k6,41,2024-01-03T05:45:00+07:00
12,ngoi_mem,76,2024-01-03T05:45:00+07:00
12,giuong_nam_k6,44,2024-01-03T05:45:00+07:00
13,ngoi_mem,88,2024-01-03T05:45:00+07:00
13,giuong_nam_k6,65,2024-01-03T05:45:00+07:00
14,ngoi_mem,93,2024-01-03T05:45:00+07:00
14,giuong_nam_k6,73,2024-01-03T05:45:00+07:00
15,ngoi_mem,105,2024-01-03T05:45:00+07:00
15,giuong_nam_k6,132,2024-01-03T05:45:00+07:00
16,ngoi_mem,112,2024-01-03T05:45:00+07:00
16,giuong_nam_k6,144,2024-01-03T05:45:00+07:00
17,ngoi_mem,115,2024-01-03T05:45:00+07:00
17,giuong_nam_k6,157,2024-01-03T05:45:00+07:00
18,ngoi_mem,112,2024-01-03T05:45:00+07:00
18,giuong_nam_k6,159,2024-01-03T05:45:00+07:00
19,ngoi_mem,108,2024-01-03T05:45:00+07:00
19,giuong_nam_k6,187,2024-01-03T05:45:00+07:00
20,ngoi_mem,120,2024-01-04T05:45:00+07:00
20,giuong_nam_k6,205,2024-01-04T05:45:00+07:00
21,ngoi_mem,118,2024-01-04T05:45:00+07:00
21,giuong_nam_k6,198,2024-01-04T05:45:00+07:00
22,ngoi_mem,112,2024-01-04T05:45:00+07:00
22,giuong_nam_k6,187,2024-01-04T05:45:00+07:00
23,ngoi_mem,112,2024-01-04T05:45:00+07:00
23,giuong_nam_k6,178,2024-01-04T05:45:00+07:00
24,ngoi_mem,114,2024-01-04T05:45:00+07:00
24,giuong_nam_k6,160,2024-01-04T05:45:00+07:00
25,ngoi_mem,133,2024-01-04T05:45:00+07:00
25,giuong_nam_k6,138,2024-01-04T05:45:00+07:00
26,ngoi_mem,113,2024-01-04T05:45:00+07:00
26,giuong_nam_k6,135,2024-01-04T05:45:00+07:00
27,ngoi_mem,106,2024-01-04T05:45:00+07:00
27,giuong_nam_k6,127,2024-01-04T05:45:00+07:00
28,ngoi_mem,81,2024-01-04T05:45:00+07:00
28,giuong_nam_k6,115,2024-01-04T05:45:00+07:00
29,ngoi_mem,99,2024-01-04T05:45:00+07:00
29,giuong_nam_k6,156,2024-01-04T05:45:00+07:00
30,ngoi_mem,107,2024-01-04T05:45:00+07:00
30,giuong_nam_k6,156,2024-01-04T05:45:00+07:00
31,ngoi_mem,124,2024-01-04T05:45:00+07:00
31,giuong_nam_k6,163,2024-01-04T05:45:00+07:00
32,ngoi_mem,133,2024-01-04T05:45:00+07:00
32,giuong_nam_k6,171,2024-01-04T05:45:00+07:00
33,ngoi_mem,136,2024-01-04T05:45:00+07:00
33,giuong_nam_k6,176,2024-01-04T05:45:00+07:00
34,ngoi_mem,151,2024-01-04T05:45:00+07:00
34,giuong_nam_k6,182,2024-01-04T05:45:00+07:00
35,ngoi_mem,149,2024-01-04T05:45:00+07:00
35,giuong_nam_k6,188,2024-01-04T05:45:00+07:00
36,ngoi_mem,157,2024-01-04T05:45:00+07:00
36,giuong_nam_k6,197,2024-01-04T05:45:00+07:00
37,ngoi_mem,159,2024-01-04T05:45:00+07:00
37,giuong_nam_k6,193,2024-01-04T05:45:00+07:00
38,ngoi_mem,158,2024-01-04T05:45:00+07:00
38,giuong_nam_k6,200,2024-01-04T05:45:00+07:00
39,ngoi_mem,134,2024-01-05T05:45:00+07:00
39,giuong_nam_k6,198,2024-01-05T05:45:00+07:00
40,ngoi_mem,132,2024-01-05T05:45:00+07:00
40,giuong_nam_k6,190,2024-01-05T05:45:00+07:00
41,ngoi_mem,128,2024-01-05T05:45:00+07:00
41,giuong_nam_k6,179,2024-01-05T05:45:00+07:00
42,ngoi_mem,126,2024-01-05T05:45:00+07:00
42,giuong_nam_k6,156,2024-01-05T05:45:00+07:00
43,ngoi_mem,124,2024-01-05T05:45:00+07:00
43,giuong_nam_k6,139,2024-01-05T05:45:00+07:00
44,ngoi_mem,123,2024-01-05T05:45:00+07:00
44,giuong_nam_k6,127,2024-01-05T05:45:00+07:00
45,ngoi_mem,116,2024-01-05T05:45:00+07:00
