id,trip_id,sequence_no,origin_station_id,destination_station_id,departure_at,arrival_at,distance_km,created_at
1,1,1,1,2,2024-01-01T22:20:00+07:00,2024-01-01T23:05:00+07:00,56.0,2024-01-01T22:20:00+07:00
2,1,2,2,3,2024-01-01T23:05:00+07:00,2024-01-01T23:35:00+07:00,31.0,2024-01-01T22:20:00+07:00
3,1,3,3,4,2024-01-01T23:35:00+07:00,2024-01-02T00:05:00+07:00,28.0,2024-01-01T22:20:00+07:00
4,1,4,4,5,2024-01-02T00:05:00+07:00,2024-01-02T01:20:00+07:00,60.0,2024-01-01T22:20:00+07:00
5,1,5,5,6,2024-01-02T01:20:00+07:00,2024-01-02T03:55:00+07:00,144.0,2024-01-01T22:20:00+07:00
6,1,6,6,7,2024-01-02T03:55:00+07:00,2024-01-02T08:20:00+07:00,203.0,2024-01-01T22:20:00+07:00
7,1,7,7,8,2024-01-02T08:20:00+07:00,2024-01-02T09:50:00+07:00,100.0,2024-01-01T22:20:00+07:00
8,1,8,8,9,2024-01-02T09:50:00+07:00,2024-01-02T11:00:00+07:00,66.0,2024-01-01T22:20:00+07:00
9,1,9,9,10,2024-01-02T11:00:00+07:00,2024-01-02T13:45:00+07:00,103.0,2024-01-01T22:20:00+07:00
10,1,10,10,11,2024-01-02T13:45:00+07:00,2024-01-02T15:20:00+07:00,74.0,2024-01-01T22:20:00+07:00
11,1,11,11,12,2024-01-02T15:20:00+07:00,2024-01-02T16:50:00+07:00,63.0,2024-01-01T22:20:00+07:00
12,1,12,12,13,2024-01-02T16:50:00+07:00,2024-01-02T20:50:00+07:00,168.0,2024-01-01T22:20:00+07:00
13,1,13,13,14,2024-01-02T20:50:00+07:00,2024-01-02T23:20:00+07:00,102.0,2024-01-01T22:20:00+07:00
14,1,14,14,15,2024-01-02T23:20:00+07:00,2024-01-03T00:20:00+07:00,117.0,2024-01-01T22:20:00+07:00
15,1,15,15,16,2024-01-03T00:20:00+07:00,2024-01-03T00:50:00+07:00,93.0,2024-01-01T22:20:00+07:00
16,1,16,16,17,2024-01-03T00:50:00+07:00,2024-01-03T03:50:00+07:00,143.0,2024-01-01T22:20:00+07:00
17,1,17,17,18,2024-01-03T03:50:00+07:00,2024-01-03T04:50:00+07:00,86.0,2024-01-01T22:20:00+07:00
18,1,18,18,19,2024-01-03T04:50:00+07:00,2024-01-03T05:20:00+07:00,57.0,2024-01-01T22:20:00+07:00
19,1,19,19,20,2024-01-03T05:20:00+07:00,2024-01-03T05:45:00+07:00,32.0,2024-01-01T22:20:00+07:00
20,2,1,1,2,2024-01-02T22:20:00+07:00,2024-01-02T23:05:00+07:00,56.0,2024-01-02T22:20:00+07:00
21,2,2,2,3,2024-01-02T23:05:00+07:00,2024-01-02T23:35:00+07:00,31.0,2024-01-02T22:20:00+07:00
22,2,3,3,4,2024-01-02T23:35:00+07:00,2024-01-03T00:05:00+07:00,28.0,2024-01-02T22:20:00+07:00
23,2,4,4,5,2024-01-03T00:05:00+07:00,2024-01-03T01:20:00+07:00,60.0,2024-01-02T22:20:00+07:00
24,2,5,5,6,2024-01-03T01:20:00+07:00,2024-01-03T03:55:00+07:00,144.0,2024-01-02T22:20:00+07:00
25,2,6,6,7,2024-01-03T03:55:00+07:00,2024-01-03T08:20:00+07:00,203.0,2024-01-02T22:20:00+07:00
26,2,7,7,8,2024-01-03T08:20:00+07:00,2024-01-03T09:50:00+07:00,100.0,2024-01-02T22:20:00+07:00
27,2,8,8,9,2024-01-03T09:50:00+07:00,2024-01-03T11:00:00+07:00,66.0,2024-01-02T22:20:00+07:00
28,2,9,9,10,2024-01-03T11:00:00+07:00,2024-01-03T13:45:00+07:00,103.0,2024-01-02T22:20:00+07:00
29,2,10,10,11,2024-01-03T13:45:00+07:00,2024-01-03T15:20:00+07:00,74.0,2024-01-02T22:20:00+07:00
30,2,11,11,12,2024-01-03T15:20:00+07:00,2024-01-03T16:50:00+07:00,63.0,2024-01-02T22:20:00+07:00
31,2,12,12,13,2024-01-03T16:50:00+07:00,2024-01-03T20:50:00+07:00,168.0,2024-01-02T22:20:00+07:00
32,2,13,13,14,2024-01-03T20:50:00+07:00,2024-01-03T23:20:00+07:00,102.0,2024-01-02T22:20:00+07:00
33,2,14,14,15,2024-01-03T23:20:00+07:00,2024-01-04T00:20:00+07:00,117.0,2024-01-02T22:20:00+07:00
34,2,15,15,16,2024-01-04T00:20:00+07:00,2024-01-04T00:50:00+07:00,93.0,2024-01-02T22:20:00+07:00
35,2,16,16,17,2024-01-04T00:50:00+07:00,2024-01-04T03:50:00+07:00,143.0,2024-01-02T22:20:00+07:00
